City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
100,Rimouski,CA,2022-07-02 21:27:50,48.4488,-68.524,75.38,57,8,10.98,clear sky
101,Sao Joao Do Piaui,BR,2022-07-02 21:27:50,-8.3581,-42.2467,83.88,47,96,8.79,overcast clouds
102,Honiara,SB,2022-07-02 21:27:51,-9.4333,159.95,80.58,73,5,7.25,clear sky
103,Krasnyy Kut,RU,2022-07-02 21:27:51,50.95,46.9667,55.35,96,100,7.81,overcast clouds
104,Seymchan,RU,2022-07-02 21:27:51,62.8833,152.4333,53.2,65,100,8.08,overcast clouds
105,Constitucion,CL,2022-07-02 21:27:51,-35.3333,-72.4167,52.05,70,41,13.67,scattered clouds
106,Puerto Escondido,MX,2022-07-02 21:27:52,15.85,-97.0667,86.83,58,40,11.5,scattered clouds
107,Togur,RU,2022-07-02 21:27:52,58.3631,82.8265,48.72,98,54,7.25,broken clouds
108,Naples,IT,2022-07-02 21:25:35,40.8333,14.25,86.38,52,0,4.61,clear sky
109,Meybod,IR,2022-07-02 21:27:52,32.2501,54.0166,98.62,10,2,8.43,clear sky
110,Ludwigslust,DE,2022-07-02 21:27:52,53.3167,11.5,68.83,55,47,5.97,scattered clouds
111,Hithadhoo,MV,2022-07-02 21:27:53,-0.6,73.0833,83.82,71,100,18.77,overcast clouds
112,Bengkulu,ID,2022-07-02 21:27:53,-3.8004,102.2655,74.52,86,59,3.47,broken clouds
113,Half Moon Bay,US,2022-07-02 21:27:53,37.4636,-122.4286,76.05,77,100,18.41,mist
114,Port Elizabeth,ZA,2022-07-02 21:27:53,-33.918,25.5701,63.32,78,75,14.97,broken clouds
115,New Norfolk,AU,2022-07-02 21:27:54,-42.7826,147.0587,40.71,88,28,3.53,scattered clouds
116,Airai,TL,2022-07-02 21:27:54,-8.9266,125.4092,59.34,97,99,3.91,overcast clouds
117,Sitka,US,2022-07-02 21:27:54,57.0531,-135.33,62.49,72,75,8.05,broken clouds
118,Itubera,BR,2022-07-02 21:27:55,-13.7322,-39.1492,70.45,90,16,5.03,few clouds
119,Pevek,RU,2022-07-02 21:27:55,69.7008,170.3133,32.07,99,100,2.15,snow
120,Nikolayevka,RU,2022-07-02 21:23:13,53.1257,47.2041,54.86,93,6,8.16,clear sky
121,Mezen,RU,2022-07-02 21:27:55,65.8522,44.24,46.08,90,1,4.61,clear sky
