City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
126,Fort Frances,CA,72.16,scattered clouds,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
127,Simoes,BR,74.77,scattered clouds,-7.5989,-40.8178,Hotel Ponto Certo
128,Cape Town,ZA,58.87,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
129,Vestmannaeyjar,IS,51.96,clear sky,63.4427,-20.2734,Glamping & Camping
130,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
131,Qaanaaq,GL,38.08,light rain,77.484,-69.3632,Qaanaaq Hotel
132,Kilosa,TZ,62.22,scattered clouds,-6.8333,36.9833,Hotel Dorice & Daughters
133,Geraldton,AU,41.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
134,Vanimo,PG,76.35,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
135,Khandyga,RU,65.86,broken clouds,62.6667,135.6,Apel'sin
136,Vicuna,CL,65.77,few clouds,-30.0319,-70.7081,Los Mosaicos
137,Purpe,RU,50.04,light rain,64.4803,76.6897,"Gostinnitsa ""Valentina"""
138,Petropavlovsk-Kamchatskiy,RU,57.79,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
139,Moree,AU,39.22,overcast clouds,-29.4667,149.85,Molika Springs Motel
140,Saldanha,ZA,55.45,few clouds,-33.0117,17.9442,Blue Bay Lodge
141,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
142,Torbay,CA,71.76,broken clouds,47.6666,-52.7314,Gallows Cove
143,Nikolskoye,RU,71.49,overcast clouds,59.7035,30.7861,Tourist House - Sablino
144,Batsfjord,NO,73.18,few clouds,70.6345,29.7185,Adventure Apartements
145,Beyneu,KZ,72.37,light rain,45.3167,55.2,NUR
146,Hurghada,EG,89.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
147,Otane,NZ,44.49,few clouds,-39.8833,176.6333,Ludlow Farmstay
148,Mattawa,US,92.01,scattered clouds,46.7379,-119.9028,Sun & Sand Mobile Home Park
149,Valdez,EC,79.05,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
150,Rawson,AR,48.13,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
151,Kautokeino,NO,67.35,scattered clouds,69.0125,23.0412,Thon Hotel Kautokeino
152,Aripuana,BR,86.77,broken clouds,-9.1667,-60.6333,
153,Saint-Philippe,RE,67.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
154,Bhandaria,BD,80.2,overcast clouds,22.4861,90.0609,সিকদার বা‌ড়ি
155,Port Lincoln,AU,52.7,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
156,Fayaoue,NC,77.11,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
157,Castro,BR,58.64,clear sky,-24.7911,-50.0119,CHACARA BAILLY
158,Maua,BR,75.49,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
159,Mugla,TR,72.16,clear sky,37.2303,28.3557,Petek Hotel
160,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
161,Nuuk,GL,56.01,few clouds,64.1835,-51.7216,Vandrehuset
162,Alexandria,EG,77.54,scattered clouds,31.2156,29.9553,Royal Crown Hotel
163,Turukhansk,RU,51.93,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
164,Kahta,TR,78.17,clear sky,37.7855,38.6237,KommageneİZ Hotel
165,Hutchinson,US,90.03,broken clouds,38.0608,-97.9298,Hampton Inn Hutchinson
166,Mar Del Plata,AR,47.08,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
167,Sambava,MG,70.14,light rain,-14.2667,50.1667,Melrose
168,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
169,Murray Bridge,AU,47.12,few clouds,-35.1167,139.2667,Balcony On Sixth Lodge
170,Chokurdakh,RU,56.66,few clouds,70.6333,147.9167,
171,Linhai,CN,75.92,overcast clouds,28.85,121.1167,Linhai S&N International Hotel
172,Maniitsoq,GL,44.62,broken clouds,65.4167,-52.9,Hotel Heilmann Lyberth
173,Narsaq,GL,62.82,broken clouds,60.9167,-46.05,Sleep In Narsaq
174,Saint-Leu,RE,68.83,scattered clouds,-21.15,55.2833,La Caz Oceane
175,Brae,GB,52.81,overcast clouds,60.3964,-1.353,Busta House Hotel
176,Orodara,BF,71.56,overcast clouds,10.9492,-4.9342,Bkf Orodara
177,Addis Abeba,ET,56.32,overcast clouds,9.025,38.7469,Ghion Hotel | Stadium | ጊዮን ሆቴል | ስታዲየም
178,Tuatapere,NZ,45.1,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
179,Ilo,PE,63.46,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
180,Ilulissat,GL,44.62,scattered clouds,69.2167,-51.1,Hotel Arctic
181,Thompson,CA,66.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
182,Caconda,AO,55.81,clear sky,-13.7333,15.0667,
183,Koumac,NC,74.75,overcast clouds,-20.5667,164.2833,Le Monitel
